[INFO] Server started.
[INFO] Server running. Press Ctrl+C to stop.
[[Server]] Listening on port 42069 @ 60 TPS
[[Server]] Tick 37200 | Cache: 888/20000
[[Server]] Tick 37500 | Cache: 888/20000
[[Server]] Tick 37800 | Cache: 888/20000
[[Server]] Tick 38100 | Cache: 888/20000
[[Server]] Tick 38400 | Cache: 888/20000
[[Server]] Tick 38700 | Cache: 888/20000
[[Server]] Tick 39000 | Cache: 888/20000
[[Server]] Tick 39300 | Cache: 888/20000
[[Server]] Tick 39600 | Cache: 888/20000
[[Server]] Tick 39900 | Cache: 888/20000
[[Server]] Tick 40200 | Cache: 888/20000
[[Server]] Tick 40500 | Cache: 888/20000
[[Server]] Tick 40800 | Cache: 888/20000
[[Server]] Tick 41100 | Cache: 888/20000
[[Server]] Tick 41400 | Cache: 888/20000
[[Server]] Tick 41700 | Cache: 888/20000
[[Server]] Tick 42000 | Cache: 888/20000
[[Server]] Tick 42300 | Cache: 888/20000
[[Server]] Tick 42600 | Cache: 888/20000
[[Server]] Tick 42900 | Cache: 888/20000
[[Server]] Tick 43200 | Cache: 888/20000
[[Server]] Tick 43500 | Cache: 888/20000
[[Server]] Tick 43800 | Cache: 888/20000
[[Server]] Tick 44100 | Cache: 888/20000
[[Server]] Tick 44400 | Cache: 888/20000
[[Server]] Tick 44700 | Cache: 918/20000
[[Server]] Tick 45000 | Cache: 963/20000
[[Server]] Tick 45300 | Cache: 1012/20000
[[Server]] Tick 45600 | Cache: 1054/20000
[[Server]] Tick 45900 | Cache: 1136/20000
[[Server]] Error handling chunk (-5,0,9): Cannot access a disposed object.
Object name: 'System.Net.Sockets.NetworkStream'.
[[Server]] Tick 46200 | Cache: 1179/20000
[[Server]] Tick 46500 | Cache: 1179/20000
[[Server]] Tick 46800 | Cache: 1179/20000
[[Server]] Tick 47100 | Cache: 1179/20000
[[Server]] Tick 47400 | Cache: 1179/20000
[[Server]] Tick 47700 | Cache: 1179/20000
[[Server]] Tick 48000 | Cache: 1179/20000
[[Server]] Tick 48300 | Cache: 1179/20000
[[Server]] Tick 48600 | Cache: 1179/20000
[[Server]] Tick 48900 | Cache: 1179/20000
[[Server]] Tick 49200 | Cache: 1179/20000
[[Server]] Tick 49500 | Cache: 1179/20000
[[Server]] Tick 49800 | Cache: 1179/20000
[[Server]] Tick 50100 | Cache: 1179/20000
[[Server]] Tick 50400 | Cache: 1179/20000
[[Server]] Tick 50700 | Cache: 1179/20000
[[Server]] Tick 51000 | Cache: 1179/20000
[[Server]] Tick 51300 | Cache: 1179/20000
[[Server]] Tick 51600 | Cache: 1179/20000
[[Server]] Tick 51900 | Cache: 1179/20000
[[Server]] Tick 52200 | Cache: 1179/20000
[[Server]] Tick 52500 | Cache: 1179/20000
[[Server]] Tick 52800 | Cache: 1179/20000
[[Server]] Tick 53100 | Cache: 1179/20000
[[Server]] Tick 53400 | Cache: 1179/20000
[[Server]] Tick 53700 | Cache: 1179/20000
[[Server]] Tick 54000 | Cache: 1179/20000
[[Server]] Tick 54300 | Cache: 1179/20000
[[Server]] Tick 54600 | Cache: 1179/20000
[[Server]] Tick 54900 | Cache: 1179/20000
[[Server]] Tick 55200 | Cache: 1179/20000
[[Server]] Tick 55500 | Cache: 1179/20000
[[Server]] Tick 55800 | Cache: 1179/20000
